CardPaymentID,PaymentDate,Amount,SalesOrderID
601,7/31/2012,24,2001
602,2/5/2013,40,2002
603,10/17/2013,60,2003
604,1/28/2013,84,2004
605,11/5/2013,112,2005
606,6/28/2013,144,2006
607,11/7/2011,180,2007
608,4/14/2012,220,2008
609,10/14/2014,264,2009
610,1/28/2012,312,2010
611,4/5/2011,364,2011
612,4/19/2012,420,2012
613,12/27/2011,480,2013
614,11/13/2012,544,2014
615,6/6/2013,612,2015
616,7/31/2014,684,2016
617,11/3/2014,760,2017
618,9/8/2014,840,2018
619,1/31/2014,924,2019
620,12/5/2014,1012,2020
621,8/8/2012,1104,2021
622,10/29/2011,1200,2022
623,5/2/2011,1300,2023
624,2/27/2013,1404,2024
625,7/31/2014,1512,2025
626,9/5/2014,1624,2026
627,12/17/2011,1740,2027
628,3/14/2011,1860,2028
629,3/11/2013,1984,2029
630,2/25/2012,2112,2030
631,12/28/2011,2244,2031
632,7/17/2012,2380,2032
633,10/15/2012,2520,2033
634,11/3/2011,2664,2034
635,12/12/2011,2812,2035
636,9/14/2011,2964,2036
637,9/14/2011,3120,2037
638,11/5/2014,3280,2038
639,1/14/2014,3444,2039
640,1/10/2011,3612,2040
641,8/22/2013,3784,2041
642,11/11/2014,3960,2042
643,9/26/2014,4140,2043
644,12/13/2012,4324,2044
645,9/23/2011,4512,2045
646,9/23/2011,4704,2046
647,3/8/2013,4900,2047
648,8/28/2014,5100,2048
649,5/1/2014,5304,2049
650,12/18/2014,5512,2050
651,6/16/2012,5724,2051
652,9/18/2014,5940,2052
653,7/25/2014,6160,2053
654,12/17/2011,6384,2054
655,12/18/2013,6612,2055
656,5/30/2012,6844,2056
657,3/19/2012,7080,2057
658,5/25/2012,7320,2058
659,8/5/2014,7564,2059
660,8/24/2014,7812,2060
661,3/11/2014,8064,2061
662,11/8/2012,8320,2062
663,8/11/2014,8580,2063
664,8/31/2013,8844,2064
665,1/18/2014,9112,2065
666,12/2/2013,9384,2066
667,12/7/2014,9660,2067
668,12/16/2014,9940,2068
669,11/20/2014,10224,2069
670,11/9/2011,10512,2070
671,6/7/2013,10804,2071
672,11/22/2011,11100,2072
673,3/29/2013,11400,2073
