CardRefundID,RefundDate,Amount,ReturnOrderID
CR0001,8/8/2012,20,5001
CR0002,2/13/2013,36,5002
CR0003,10/25/2013,56,5003
CR0004,2/5/2013,80,5004
CR0005,11/13/2013,108,5005
CR0006,7/6/2013,140,5006
CR0007,11/15/2011,176,5007
CR0008,4/22/2012,216,5008
CR0009,10/22/2014,260,5009
CR0010,2/5/2012,308,5010
CR0011,4/13/2011,360,5011
CR0012,4/27/2012,416,5012
CR0013,1/4/2012,476,5013
CR0014,11/21/2012,540,5014
CR0015,6/14/2013,608,5015
CR0016,8/8/2014,680,5016
CR0017,11/11/2014,756,5017
CR0018,9/16/2014,836,5018
CR0019,2/8/2014,920,5019
CR0020,12/13/2014,1008,5020
CR0021,8/16/2012,1100,5021
CR0022,11/6/2011,1196,5022
CR0023,5/10/2011,1296,5023
CR0024,3/7/2013,1400,5024
CR0025,8/8/2014,1508,5025
CR0026,9/13/2014,1620,5026
CR0027,12/25/2011,1736,5027
CR0028,3/22/2011,1856,5028
CR0029,3/19/2013,1980,5029
CR0030,3/4/2012,2108,5030
CR0031,1/5/2012,2240,5031
CR0032,7/25/2012,2376,5032
CR0033,10/23/2012,2516,5033
CR0034,11/11/2011,2660,5034
CR0035,12/20/2011,2808,5035
CR0036,9/22/2011,2960,5036
CR0037,9/22/2011,3116,5037
CR0038,11/13/2014,3276,5038
CR0039,1/22/2014,3440,5039
CR0040,1/18/2011,3608,5040
CR0041,8/30/2013,3780,5041
CR0042,11/19/2014,3956,5042
CR0043,10/4/2014,4136,5043
CR0044,12/21/2012,4320,5044
CR0045,10/1/2011,4508,5045
CR0046,10/1/2011,4700,5046
CR0047,3/16/2013,4896,5047
CR0048,9/5/2014,5096,5048
CR0049,5/9/2014,5300,5049
CR0050,12/26/2014,5508,5050
CR0051,6/24/2012,5720,5051
CR0052,9/26/2014,5936,5052
CR0053,8/2/2014,6156,5053
CR0054,12/25/2011,6380,5054
CR0055,12/26/2013,6608,5055
CR0056,6/7/2012,6840,5056
CR0057,3/27/2012,7076,5057
CR0058,6/2/2012,7316,5058
CR0059,8/13/2014,7560,5059
CR0060,9/1/2014,7808,5060
CR0061,3/19/2014,8060,5061
CR0062,11/16/2012,8316,5062
CR0063,8/19/2014,8576,5063
