SalesOrderId,SalesOrderNo,creationDate,channel,Mode of payment,customerId,StoreID,terminalID,returnOrderId,recordType,,
2001,S100,10/01/19,Direct selling,Cash,C00001,4000,300,5001,Standard Purchase Orders,,
2002,S101,14/1/2019,Selling through intermediaries,Googlepay,C000011,4001,301,5002,Planned Purchase Orders (PPO),,
2003,S102,02/02/19,Dual distribution,Card,C000012,4002,302,5003,Blanket Purchase Orders (BPO),,
2004,S103,10/02/19,Reverse channels,Card,C000013,4003,303,5004,Contract Purchase Orders (CPO),,
2005,S104,27/2/2019,Direct selling,Cash,C000014,4004,304,,Standard Purchase Orders,,
2006,S105,15/3/2019,Selling through intermediaries,Googlepay,C000015,4005,305,,Planned Purchase Orders (PPO),,
2007,S106,28/3/2019,Dual distribution,Googlepay,C000016,4006,306,,Blanket Purchase Orders (BPO),,
2008,S107,29/3/2019,Reverse channels,Googlepay,C000017,4007,307,,Contract Purchase Orders (CPO),,
2009,S108,01/04/19,Direct selling,Googlepay,C000018,4008,308,5005,Standard Purchase Orders,,
2010,S109,06/04/19,Selling through intermediaries,Googlepay,C000019,4009,309,5006,Planned Purchase Orders (PPO),,
2011,S110,10/04/19,Dual distribution,Googlepay,C0000110,4010,310,,Blanket Purchase Orders (BPO),,
2012,S111,10/05/19,Reverse channels,Googlepay,C0000111,4011,311,,Contract Purchase Orders (CPO),,
2013,S112,17/5/2019,Direct selling,Cash,C0000112,4012,312,,Standard Purchase Orders,,
2014,S113,20/5/2019,Selling through intermediaries,Cash,C0000113,4013,313,,Planned Purchase Orders (PPO),,
2015,S114,22/5/2019,Dual distribution,Googlepay,C0000114,4014,314,,Blanket Purchase Orders (BPO),,
2016,S115,23/5/2019,Reverse channels,Cash,C0000115,4015,315,,Contract Purchase Orders (CPO),,
2017,S116,24/5/2019,Direct selling,Paytm,C000014,4016,316,5007,Standard Purchase Orders,,
2018,S117,10/06/19,Selling through intermediaries,Cash,C000015,4017,317,5008,Planned Purchase Orders (PPO),,
2019,S118,14/6/2019,Dual distribution,Cash,C000016,4018,318,,Blanket Purchase Orders (BPO),,
2020,S119,18/6/2019,Reverse channels,Googlepay,C000017,4019,319,,Contract Purchase Orders (CPO),,
2021,S120,10/6/2019,Direct selling,Googlepay,C0000120,4020,320,,Standard Purchase Orders,,
2022,S121,14/6/2019,Selling through intermediaries,Googlepay,C0000121,4021,321,5009,Planned Purchase Orders (PPO),,
2023,S122,18/6/2019,Dual distribution,Googlepay,C0000122,4022,322,5010,Blanket Purchase Orders (BPO),,
2024,S123,10/1/2019,Reverse channels,Googlepay,C0000123,4023,323,5011,Contract Purchase Orders (CPO),,
2025,S124,14/1/2019,Direct selling,Googlepay,C0000124,4024,324,5012,Standard Purchase Orders,,
2026,S125,2/2/2019,Selling through intermediaries,Googlepay,C0000125,4025,325,5013,Planned Purchase Orders (PPO),,
2027,S126,10/2/2019,Dual distribution,Googlepay,C0000126,4026,326,5014,Blanket Purchase Orders (BPO),,
2028,S127,27/2/2019,Reverse channels,Googlepay,C0000127,4027,327,5015,Contract Purchase Orders (CPO),,
2029,S128,15/3/2019,Direct selling,Googlepay,C0000128,4028,328,5016,Standard Purchase Orders,,
2030,S129,28/3/2019,Selling through intermediaries,Googlepay,C0000129,4029,329,5017,Planned Purchase Orders (PPO),,
2031,S130,29/3/2019,Dual distribution,Googlepay,C0000130,4030,330,5018,Blanket Purchase Orders (BPO),,
2032,S131,1/4/2019,Reverse channels,Googlepay,C0000131,4031,331,5019,Contract Purchase Orders (CPO),,
2033,S132,6/4/2019,Direct selling,Googlepay,C0000132,4032,332,5020,Standard Purchase Orders,,
2034,S133,10/4/2019,Selling through intermediaries,Googlepay,C0000133,4033,333,5021,Planned Purchase Orders (PPO),,
2035,S134,10/5/2019,Dual distribution,Googlepay,C0000134,4034,334,5022,Blanket Purchase Orders (BPO),,
2036,S135,17/5/2019,Reverse channels,Googlepay,C0000135,4035,335,5023,Contract Purchase Orders (CPO),,
2037,S136,20/5/2019,Direct selling,Googlepay,C0000136,4036,336,5024,Standard Purchase Orders,,
2038,S137,22/5/2019,Selling through intermediaries,Googlepay,C0000137,4037,337,5025,Planned Purchase Orders (PPO),,
2039,S138,23/5/2019,Dual distribution,Googlepay,C0000138,4038,338,5026,Blanket Purchase Orders (BPO),,
2040,S139,24/5/2019,Reverse channels,Googlepay,C0000139,4039,339,5027,Contract Purchase Orders (CPO),,
2041,S140,10/6/2019,Direct selling,Googlepay,C0000140,4040,340,5028,Standard Purchase Orders,,
2042,S141,14/6/2019,Selling through intermediaries,Googlepay,C0000141,4041,341,5029,Planned Purchase Orders (PPO),,
2043,S142,18/6/2019,Dual distribution,Googlepay,C0000142,4042,342,5030,Blanket Purchase Orders (BPO),,
2044,S143,10/1/2019,Reverse channels,Googlepay,C0000143,4043,343,5031,Contract Purchase Orders (CPO),,
2045,S144,14/1/2019,Direct selling,Googlepay,C0000144,4044,344,5032,Standard Purchase Orders,,
2046,S145,2/2/2019,Selling through intermediaries,Googlepay,C0000145,4045,345,5033,Planned Purchase Orders (PPO),,
2047,S146,10/2/2019,Dual distribution,Googlepay,C0000146,4046,346,5034,Blanket Purchase Orders (BPO),,
2048,S147,27/2/2019,Reverse channels,Googlepay,C0000147,4047,347,5035,Contract Purchase Orders (CPO),,
2049,S148,15/3/2019,Direct selling,Googlepay,C0000148,4048,348,5036,Standard Purchase Orders,,
2050,S149,28/3/2019,Selling through intermediaries,Googlepay,C0000149,4049,349,5037,Planned Purchase Orders (PPO),,
2051,S150,29/3/2019,Dual distribution,Googlepay,C0000150,4050,350,5038,Blanket Purchase Orders (BPO),,
2052,S151,1/4/2019,Reverse channels,Googlepay,C0000151,4051,351,5039,Contract Purchase Orders (CPO),,
2053,S152,6/4/2019,Direct selling,Googlepay,C0000152,4052,352,5040,Standard Purchase Orders,,
2054,S153,10/4/2019,Selling through intermediaries,Googlepay,C0000153,4053,353,5041,Planned Purchase Orders (PPO),,
2055,S154,10/5/2019,Dual distribution,Googlepay,C0000154,4054,354,5042,Blanket Purchase Orders (BPO),,
2056,S155,17/5/2019,Reverse channels,Googlepay,C0000155,4055,355,5043,Contract Purchase Orders (CPO),,
2057,S156,20/5/2019,Direct selling,Googlepay,C0000156,4056,356,5044,Standard Purchase Orders,,
2058,S157,22/5/2019,Selling through intermediaries,Googlepay,C0000157,4057,357,5045,Planned Purchase Orders (PPO),,
2059,S158,23/5/2019,Dual distribution,Googlepay,C0000158,4058,358,5046,Blanket Purchase Orders (BPO),,
2060,S159,24/5/2019,Reverse channels,Googlepay,C0000159,4059,359,5047,Contract Purchase Orders (CPO),,
2061,S160,10/6/2019,Direct selling,Googlepay,C0000160,4060,360,5048,Standard Purchase Orders,,
2062,S161,14/6/2019,Selling through intermediaries,Googlepay,C0000161,4061,361,5049,Planned Purchase Orders (PPO),,
2063,S162,18/6/2019,Dual distribution,Googlepay,C0000162,4062,362,5050,Blanket Purchase Orders (BPO),,
2064,S163,10/1/2019,Reverse channels,Googlepay,C0000163,4063,363,5051,Contract Purchase Orders (CPO),,
2065,S164,14/1/2019,Direct selling,Googlepay,C0000164,4064,364,5052,Standard Purchase Orders,,
2066,S165,2/2/2019,Selling through intermediaries,Googlepay,C0000165,4065,365,5053,Planned Purchase Orders (PPO),,
2067,S166,10/2/2019,Dual distribution,Googlepay,C0000166,4066,366,5054,Blanket Purchase Orders (BPO),,
2068,S167,27/2/2019,Reverse channels,Googlepay,C0000167,4067,367,5055,Contract Purchase Orders (CPO),,
2069,S168,15/3/2019,Direct selling,Googlepay,C0000168,4068,368,5056,Standard Purchase Orders,,
2070,S169,28/3/2019,Selling through intermediaries,Googlepay,C0000169,4069,369,5057,Planned Purchase Orders (PPO),,
2071,S170,29/3/2019,Dual distribution,Googlepay,C0000170,4070,370,5058,Blanket Purchase Orders (BPO),,
2072,S171,1/4/2019,Reverse channels,Googlepay,C0000171,4071,371,5059,Contract Purchase Orders (CPO),,
2073,S172,6/4/2019,Direct selling,Googlepay,C0000172,4072,372,5060,Standard Purchase Orders,,
2074,S173,10/4/2019,Selling through intermediaries,Googlepay,C0000173,4073,373,5061,Planned Purchase Orders (PPO),,
2075,S174,10/5/2019,Dual distribution,Googlepay,C0000174,4074,374,5062,Blanket Purchase Orders (BPO),,
2076,S175,17/5/2019,Reverse channels,Googlepay,C0000175,4075,375,5063,Contract Purchase Orders (CPO),,
2077,S176,20/5/2019,Direct selling,Googlepay,C0000176,4076,376,5064,Standard Purchase Orders,,
2078,S177,22/5/2019,Selling through intermediaries,Googlepay,C0000177,4077,377,5065,Planned Purchase Orders (PPO),,
2079,S178,23/5/2019,Dual distribution,Googlepay,C0000178,4078,378,5066,Blanket Purchase Orders (BPO),,
2080,S179,24/5/2019,Reverse channels,Googlepay,C0000179,4079,379,5067,Contract Purchase Orders (CPO),,
2081,S180,10/6/2019,Direct selling,Googlepay,C0000180,4080,380,5068,Standard Purchase Orders,,
2082,S181,14/6/2019,Selling through intermediaries,Googlepay,C0000181,4081,381,5069,Planned Purchase Orders (PPO),,
2083,S182,18/6/2019,Dual distribution,Googlepay,C0000182,4082,382,5070,Blanket Purchase Orders (BPO),,
2084,S183,10/1/2019,Reverse channels,Googlepay,C0000183,4083,383,5071,Contract Purchase Orders (CPO),,
2085,S184,14/1/2019,Direct selling,Googlepay,C0000184,4084,384,5072,Standard Purchase Orders,,
2086,S185,2/2/2019,Selling through intermediaries,Googlepay,C0000185,4085,385,5073,Planned Purchase Orders (PPO),,
2087,S186,10/2/2019,Dual distribution,Googlepay,C0000186,4086,386,5074,Blanket Purchase Orders (BPO),,
